Contcod,Group,Measure Names,R Rinc,Running Sum of Pop
GTM,1,Running Sum of Population,82,0.8525211
UGA,1,Running Sum of Population,85,2.5007576
SLV,1,Running Sum of Population,87,3.0197141
LSO,1,Running Sum of Population,99,3.1777041
MRT,1,Running Sum of Population,104,3.3669369
HND,1,Running Sum of Population,119,3.8287614
UGA,2,Running Sum of Population,133,5.4769979
NGA,1,Running Sum of Population,136,14.7501283
CRI,1,Running Sum of Population,147,15.0417849
CHN-R,1,Running Sum of Population,157,96.9589945
PAK,1,Running Sum of Population,165,107.4922409
GHA,1,Running Sum of Population,166,108.893336
IDN-U,1,Running Sum of Population,167,114.019932
LSO,2,Running Sum of Population,174,114.177922
GTM,2,Running Sum of Population,177,115.0304431
IDN-R,1,Running Sum of Population,178,127.7045271
UGA,3,Running Sum of Population,180,129.3527636
BGD,1,Running Sum of Population,185,139.3589956
BRA,1,Running Sum of Population,196,153.806034
HND,2,Running Sum of Population,196,154.2678585
IND-R,1,Running Sum of Population,203,217.0785785
UZB,1,Running Sum of Population,203,219.0346965
MRT,2,Running Sum of Population,205,219.2239293
CHN-R,2,Running Sum of Population,207,301.1411389
IND-U,1,Running Sum of Population,210,322.1003853
NGA,2,Running Sum of Population,212,331.3735157
PAK,2,Running Sum of Population,213,341.9067621
IDN-U,2,Running Sum of Population,221,347.0333581
IDN-R,2,Running Sum of Population,230,359.7074421
UGA,4,Running Sum of Population,230,361.3556786
DOM,1,Running Sum of Population,233,362.0463957
BGD,2,Running Sum of Population,235,372.0526277
ECU,1,Running Sum of Population,235,373.0318935
GHA,2,Running Sum of Population,238,374.4329886
UZB,2,Running Sum of Population,238,376.3891066
CHN-R,3,Running Sum of Population,248,458.3063162
PHL,1,Running Sum of Population,255,464.1635234
UZB,3,Running Sum of Population,255,466.1196414
PAK,3,Running Sum of Population,256,476.6528878
LSO,3,Running Sum of Population,257,476.8108778
IDN-R,3,Running Sum of Population,266,489.4849618
IDN-U,3,Running Sum of Population,268,494.6115578
IND-R,2,Running Sum of Population,269,557.4222778
IND-U,2,Running Sum of Population,269,578.3815242
NGA,3,Running Sum of Population,269,587.6546546
BGD,3,Running Sum of Population,277,597.6608866
UZB,4,Running Sum of Population,280,599.6170046
GTM,3,Running Sum of Population,281,600.4695257
UGA,5,Running Sum of Population,283,602.1177622
HND,3,Running Sum of Population,284,602.5795867
CHN-R,4,Running Sum of Population,285,684.4967963
CHN-U,1,Running Sum of Population,291,712.7425883
PAK,4,Running Sum of Population,298,723.2758347
IDN-R,4,Running Sum of Population,300,735.9499187
MRT,3,Running Sum of Population,301,736.1391515
GHA,3,Running Sum of Population,303,737.5402466
NZL,1,Running Sum of Population,306,737.8752466
IDN-U,4,Running Sum of Population,314,743.0018426
IND-R,3,Running Sum of Population,315,805.8125626
BGD,4,Running Sum of Population,316,815.8187946
CHN-R,5,Running Sum of Population,321,897.7360042
IND-U,3,Running Sum of Population,324,918.6952506
