Contcod,Group,R Rinc,Quintile,Pop
CHE,1,,0,0.7647675
COD,1,38,0,6.2474901
COD,2,60,0,6.2474901
HND,1,63,0,0.7302742
MDG,1,74,0,1.9546282
ZMB,1,74,0,1.2379612
CAF,1,75,0,0.4237961
COD,3,76,0,6.2474901
LBR,1,77,0,0.365846
NGA,1,84,0,15.066573
COD,4,92,0,6.2474901
MDG,2,108,0,1.9546282
MOZ,1,108,0,2.23329
ZMB,2,108,0,1.2379612
COD,5,110,0,6.2474901
KEN,1,112,0,3.8455418
BOL,1,116,0,0.9618466
TZA,1,124,0,4.2267667
NGA,2,127,0,15.066573
RWA,1,128,0,1.0004092
CAF,2,132,0,0.4237961
LBR,2,133,0,0.365846
COD,6,134,0,6.2474901
MWI,1,136,0,1.4005113
MDG,3,142,0,1.9546282
BDI,1,144,0,0.7943385
ZMB,3,148,0,1.2379612
SWZ,1,159,0,0.1031747
MLI,1,161,0,1.445999
COD,7,164,0,6.2474901
KEN,2,167,0,3.8455418
BDI,2,168,0,0.7943385
LBR,3,168,0,0.365846
NGA,3,173,0,15.066573
TZA,2,176,0,4.2267667
MDG,4,177,0,1.9546282
GIN,1,181,0,0.955911
RWA,2,182,0,1.0004092
CAF,3,183,0,0.4237961
MOZ,2,184,0,2.23329
NIC,1,185,0,0.5635577
BDI,3,193,0,0.7943385
BFA,1,193,0,1.5515258
UGA,1,193,0,3.1339392
ZMB,4,193,0,1.2379612
COL,1,196,0,4.5005782
LBR,4,201,0,0.365846
MWI,2,206,0,1.4005113
KEN,3,209,0,3.8455418
COD,8,210,0,6.2474901
MDG,5,215,0,1.9546282
BDI,4,220,0,0.7943385
TGO,1,221,0,0.5776837
TZA,3,222,0,4.2267667
MLI,2,223,0,1.445999
NGA,4,223,0,15.066573
NER,1,225,0,1.4450007
RWA,3,226,0,1.0004092
SWZ,2,229,0,0.1031747
YEM,1,233,0,2.2626595
CIV,1,235,0,1.8987007
LBR,5,236,0,0.365846
MOZ,3,238,0,2.23329
CAF,4,239,0,0.4237961
KEN,4,245,0,3.8455418
MRT,1,246,0,0.3295254
BGD,1,247,0,14.54783
ZMB,5,249,0,1.2379612
BDI,5,250,0,0.7943385
GIN,2,252,0,0.955911
LAO,1,252,0,0.6022001
GTM,1,254,0,1.3690846
BFA,2,259,0,1.5515258
MDG,6,259,0,1.9546282
MWI,3,262,0,1.4005113
IND-U,1,265,0,35.178112
TLS,1,267,0,0.1077911
IND-R,1,268,1,83.908256
SDN,1,268,1,3.2438306
TZA,4,268,1,4.2267667
GEO,1,271,1,0.43837
RWA,4,273,1,1.0004092
LBR,6,274,1,0.365846
NGA,5,278,1,15.066573
KEN,5,279,1,3.8455418
MLI,3,284,1,1.445999
CHN-R,1,285,1,75.3728704
BDI,6,286,1,0.7943385
UGA,2,286,1,3.1339392
NER,2,288,1,1.4450007
COD,9,289,1,6.2474901
MOZ,4,291,1,2.23329
TGO,2,293,1,0.5776837
NPL,1,296,1,2.8905358
IDN-U,1,302,1,12.0905864
BGD,2,303,1,14.54783
CAF,5,303,1,0.4237961
SWZ,3,309,1,0.1031747
IDN-R,1,312,1,11.4045288
KHM,1,313,1,1.3822644
MDG,7,313,1,1.9546282
HND,2,316,1,0.7302742
MWI,4,316,1,1.4005113
VEN,1,316,1,2.7935
TZA,5,317,1,4.2267667
ZMB,6,320,1,1.2379612
GIN,3,321,1,0.955911
KEN,6,321,1,3.8455418
LBR,7,321,1,0.365846
PHL,1,322,1,9.0173139
BFA,3,324,1,1.5515258
LAO,2,325,1,0.6022001
RWA,5,326,1,1.0004092
VNM,1,326,1,8.51223
TLS,2,328,1,0.1077911
BDI,7,332,1,0.7943385
YEM,2,336,1,2.2626595
IND-U,2,344,1,35.178112
NGA,6,344,1,15.066573
PAK,1,344,1,16.7442258
MLI,4,345,2,1.445999
BRA,1,346,2,19.1543237
NER,3,346,2,1.4450007
ECU,1,348,2,1.405674
MOZ,5,350,2,2.23329
IND-R,2,353,2,83.908256
CIV,2,354,2,1.8987007
BGD,3,357,2,14.54783
UGA,3,357,2,3.1339392
ZAF,1,361,2,4.8793022
TGO,3,362,2,0.5776837
MRT,2,363,2,0.3295254
KEN,7,367,2,3.8455418
TZA,6,370,2,4.2267667
MWI,5,378,2,1.4005113
NPL,2,379,2,2.8905358
BTN,1,381,2,0.0701363
CAF,6,381,2,0.4237961
LBR,8,383,2,0.365846
CHN-R,2,385,2,75.3728704
TLS,3,386,2,0.1077911
BFA,4,389,2,1.5515258
MDG,8,389,2,1.9546282
RWA,6,391,2,1.0004092
GIN,4,392,2,0.955911
IDN-R,2,392,2,11.4045288
LAO,3,393,2,0.6022001
KHM,2,394,2,1.3822644
BDI,8,398,2,0.7943385
IDN-U,2,398,2,12.0905864
SDN,2,398,2,3.2438306
SWZ,4,398,2,0.1031747
PRY,1,402,2,0.6230242
CMR,1,403,2,1.8758778
NER,4,403,2,1.4450007
PER,1,403,2,2.8463338
PAN,1,406,2,0.3406487
SLV,1,407,2,0.6129628
IND-R,3,408,3,83.908256
KGZ,1,409,3,0.53187
YEM,3,409,3,2.2626595
BGD,4,410,3,14.54783
MLI,5,410,3,1.445999
PAK,2,414,3,16.7442258
ZMB,7,415,3,1.2379612
MOZ,6,418,3,2.23329
PHL,2,422,3,9.0173139
TJK,1,422,3,0.6691416
IND-U,3,423,3,35.178112
NGA,7,427,3,15.066573
TGO,4,430,3,0.5776837
KEN,8,431,3,3.8455418
BOL,2,432,3,0.9618466
UGA,4,433,3,3.1339392
VNM,2,434,3,8.51223
NIC,2,435,3,0.5635577
TZA,7,435,3,4.2267667
LKA,1,436,3,2.0217
TLS,4,443,3,0.1077911
FJI,1,447,3,0.0843651
MEX,1,448,3,11.0627158
GEO,2,450,3,0.43837
MWI,6,452,3,1.4005113
BFA,5,458,3,1.5515258
NPL,3,458,3,2.8905358
IND-R,4,460,3,83.908256
LAO,4,462,3,0.6022001
IDN-R,3,465,3,11.4045288
BGD,5,466,3,14.54783
NER,5,466,3,1.4450007
GIN,5,470,3,0.955911
CIV,3,471,3,1.8987007
ZAF,2,471,3,4.8793022
KHM,3,474,4,1.3822644
MRT,3,474,4,0.3295254
RWA,7,475,4,1.0004092
YEM,4,476,4,2.2626595
PAK,3,479,4,16.7442258
CAF,7,482,4,0.4237961
CHN-R,3,482,4,75.3728704
ROU,1,482,4,2.1513622
LBR,9,484,4,0.365846
GTM,2,485,4,1.3690846
MLI,6,485,4,1.445999
IDN-U,3,488,4,12.0905864
IRQ,1,497,4,3.0178292
MOZ,7,502,4,2.23329
TGO,5,503,4,0.5776837
TLS,5,503,4,0.1077911
IND-U,4,506,4,35.178112
DOM,1,507,4,0.9664948
SWZ,5,507,4,0.1031747
BDI,9,511,4,0.7943385
IND-R,5,514,4,83.908256
MAR,1,514,4,3.1321453
SDN,3,514,4,3.2438306
UGA,5,516,4,3.1339392
KEN,9,520,4,3.8455418
MDG,9,520,4,1.9546282
BTN,2,523,4,0.0701363
TZA,8,523,4,4.2267667
PHL,3,527,4,9.0173139
CMR,2,529,4,1.8758778
BGD,6,530,4,14.54783
NER,6,533,4,1.4450007
IDN-R,4,534,4,11.4045288
NPL,4,535,4,2.8905358
LAO,5,536,4,0.6022001
BFA,6,538,4,1.5515258
VNM,3,538,5,8.51223
EGY,1,542,5,7.8323298
PAK,4,542,5,16.7442258
HND,3,544,5,0.7302742
NGA,8,546,5,15.066573
MWI,7,549,5,1.4005113
YEM,5,551,5,2.2626595
LKA,2,556,5,2.0217
KHM,4,557,5,1.3822644
GIN,6,559,5,0.955911
ZMB,8,560,5,1.2379612
COL,2,565,5,4.5005782
ARM,1,569,5,0.3079087
TJK,2,569,5,0.6691416
TLS,6,569,5,0.1077911
MLI,7,575,5,1.445999
IND-R,6,576,5,83.908256
CHN-R,4,582,5,75.3728704
IDN-U,4,582,5,12.0905864
MRT,4,583,5,0.3295254
TGO,6,583,5,0.5776837
CIV,4,588,5,1.8987007
IND-U,5,595,5,35.178112
RWA,8,597,5,1.0004092
FJI,2,602,5,0.0843651
IDN-R,5,606,5,11.4045288
BGD,7,607,5,14.54783
PAK,5,609,6,16.7442258
MNG,1,611,6,0.2667474
UGA,6,612,6,3.1339392
GEO,3,616,6,0.43837
NER,7,616,6,1.4450007
ZAF,3,616,6,4.8793022
NPL,5,617,6,2.8905358
LAO,6,618,6,0.6022001
COD,10,620,6,6.2474901
KGZ,2,620,6,0.53187
MOZ,8,620,6,2.23329
KOS,1,626,6,0.1747383
SDN,4,627,6,3.2438306
CAF,8,628,6,0.4237961
YEM,6,634,6,2.2626595
BFA,7,636,6,1.5515258
NIC,3,636,6,0.5635577
VNM,4,641,6,8.51223
SWZ,6,643,6,0.1031747
IRQ,2,644,6,3.0178292
PHL,4,644,6,9.0173139
CRI,1,645,6,0.4522124
KHM,5,647,6,1.3822644
IND-R,7,650,6,83.908256
TLS,7,650,6,0.1077911
CMR,3,658,6,1.8758778
MDA,1,660,6,0.3570107
BTN,3,663,6,0.0701363
GIN,7,669,6,0.955911
TZA,9,672,6,4.2267667
LKA,3,676,6,2.0217
TGO,7,681,6,0.5776837
IDN-U,5,682,6,12.0905864
PAK,6,683,6,16.7442258
IDN-R,6,685,6,11.4045288
MWI,8,686,6,1.4005113
CHN-R,5,687,6,75.3728704
MRT,5,698,6,0.3295254
IND-U,6,699,7,35.178112
MLI,8,700,7,1.445999
TJK,3,700,7,0.6691416
GTM,3,705,7,1.3690846
THA,1,705,7,6.8267982
NPL,6,708,7,2.8905358
BGD,8,712,7,14.54783
CIV,5,713,7,1.8987007
CHN-U,1,716,7,57.0926336
LAO,7,720,7,0.6022001
EGY,2,722,7,7.8323298
NER,8,730,7,1.4450007
YEM,7,733,7,2.2626595
UGA,7,735,7,3.1339392
ALB,1,736,7,0.3181397
PER,2,736,7,2.8463338
PAN,2,738,7,0.3406487
SDN,5,740,7,3.2438306
BOL,3,743,7,0.9618466
MAR,2,747,7,3.1321453
VNM,5,748,7,8.51223
IND-R,8,749,7,83.908256
KHM,6,750,7,1.3822644
SLV,2,754,7,0.6129628
FJI,3,755,7,0.0843651
NGA,9,756,7,15.066573
TLS,8,760,7,0.1077911
ARM,2,767,7,0.3079087
BFA,8,771,7,1.5515258
PRY,2,771,7,0.6230242
PAK,7,773,7,16.7442258
TUR,1,773,7,7.092373
IRQ,3,774,7,3.0178292
GEO,4,775,7,0.43837
IDN-R,7,780,7,11.4045288
PHL,5,781,7,9.0173139
MKD,1,788,7,0.2052524
KEN,10,791,7,3.8455418
ECU,2,794,7,1.405674
CMR,4,795,7,1.8758778
IDN-U,6,795,7,12.0905864
LKA,4,803,7,2.0217
HND,4,805,7,0.7302742
BTN,4,806,7,0.0701363
CHN-R,6,809,8,75.3728704
KGZ,3,810,8,0.53187
VEN,2,810,8,2.7935
ZAF,4,810,8,4.8793022
TGO,8,813,8,0.5776837
NPL,7,819,8,2.8905358
RWA,9,820,8,1.0004092
GIN,8,822,8,0.955911
MOZ,9,822,8,2.23329
SWZ,7,822,8,0.1031747
NIC,4,823,8,0.5635577
TJK,4,823,8,0.6691416
IND-U,7,826,8,35.178112
MRT,6,826,8,0.3295254
AZE,1,828,8,0.87634
ZMB,9,828,8,1.2379612
DOM,2,835,8,0.9664948
EGY,3,837,8,7.8323298
COL,3,839,8,4.5005782
JOR,1,848,8,0.5787
CIV,6,854,8,1.8987007
MYS,1,854,8,2.7502008
LAO,8,858,8,0.6022001
MNG,2,858,8,0.2667474
ARG,1,861,8,3.9714298
SDN,6,865,8,3.2438306
VNM,6,870,8,8.51223
KHM,7,878,8,1.3822644
BRA,2,879,8,19.1543237
YEM,8,882,8,2.2626595
CAF,9,890,8,0.4237961
BGD,9,892,8,14.54783
PAK,8,894,8,16.7442258
IRQ,4,899,8,3.0178292
CHL,1,906,8,1.6795593
ARM,3,907,8,0.3079087
IDN-R,8,907,8,11.4045288
UGA,8,907,8,3.1339392
IND-R,9,910,9,83.908256
MLI,9,912,9,1.445999
KOS,2,914,9,0.1747383
FJI,4,915,9,0.0843651
SYC,1,917,9,0.0086956
MAR,3,921,9,3.1321453
MWI,9,921,9,1.4005113
NER,9,922,9,1.4450007
MDA,2,925,9,0.3570107
IDN-U,7,935,9,12.0905864
URY,1,937,9,0.3334052
GTM,4,938,9,1.3690846
ROU,2,941,9,2.1513622
GEO,5,942,9,0.43837
EGY,4,944,9,7.8323298
PHL,6,944,9,9.0173139
CMR,5,946,9,1.8758778
LKA,5,946,9,2.0217
TLS,9,947,9,0.1077911
TJK,5,949,9,0.6691416
CHN-R,7,958,9,75.3728704
BTN,5,959,9,0.0701363
MEX,2,959,9,11.0627158
ALB,2,962,9,0.3181397
THA,2,962,9,6.8267982
NPL,8,969,9,2.8905358
BDI,10,974,9,0.7943385
LBR,10,980,9,0.365846
MRT,7,982,9,0.3295254
KGZ,4,992,9,0.53187
BFA,9,1003,9,1.5515258
IND-U,8,1004,9,35.178112
BOL,4,1006,9,0.9618466
SDN,7,1014,9,3.2438306
SLV,3,1014,9,0.6129628
CHN-U,2,1018,9,57.0926336
