Measure Names,Quintile,Measure Values
WeightedRRinc,19,23841.690299927
WeightedRRinc,18,12507.944464904
WeightedRRinc,17,8672.403662189
WeightedRRinc,16,5829.283525783
WeightedRRinc,15,3741.980510073
WeightedRRinc,14,2273.975567978
WeightedRRinc,13,1465.961097592
WeightedRRinc,12,1105.558429950
WeightedRRinc,11,826.410072676
WeightedRRinc,10,664.673456138
WeightedRRinc,9,579.215274949
WeightedRRinc,8,507.058603723
WeightedRRinc,7,457.948787831
WeightedRRinc,6,411.964524321
WeightedRRinc,5,369.984562046
WeightedRRinc,4,328.345196781
WeightedRRinc,3,298.482448918
WeightedRRinc,2,260.733406291
WeightedRRinc,1,210.348661882
WeightedRRinc,0,162.449432335
