Quintile	1988	2008	Growth
0	162.4494323	176.1604626	0.084401836
1	210.3486619	298.2329295	0.417802836
2	260.7334063	369.7899077	0.418268234
3	298.4824489	433.9900002	0.453988339
4	328.3451968	503.3913901	0.533116351
5	369.984562	576.4924394	0.558152687
6	411.9645243	659.4256372	0.600685492
7	457.9487878	740.6155734	0.617245406
8	507.0586037	844.3894899	0.665270017
9	579.2152749	969.8507274	0.674421876
10	664.6734561	1208.282049	0.817858135
11	826.4100727	1485.625237	0.797685297
12	1105.55843	1786.251052	0.615700268
13	1465.961098	2291.15968	0.562906194
14	2273.975568	2966.605041	0.304589672
15	3741.98051	3751.383633	0.002512873
16	5829.283526	6011.056472	0.031182725
17	8672.403662	9331.844404	0.076038982
18	12507.94446	14895.17946	0.190857499
19	23841.6903	32369.33856	0.357678007
