year,employment_size,internet_usage
2012,below 10 employees,79
2012,between 10 to 199 employees,92
2012,200 or more employees,100
2013,below 10 employees,82
2013,between 10 to 199 employees,95
2013,200 or more employees,100
2014,below 10 employees,82
2014,between 10 to 199 employees,97
2014,200 or more employees,100
2015,below 10 employees,85
2015,between 10 to 199 employees,95
2015,200 or more employees,100
2016,below 10 employees,86
2016,between 10 to 199 employees,95
2016,200 or more employees,99
